"Mary, Benjamin",Italy,USA
"Vanella, Daniela",Italy,
"Consoli, Simona",Italy,
"Cassiani, Giorgio",Italy,
"Vennetier, Michel",France,
"Zanetti, Caroline",France,
"Meriaux, Patrice",France,
"Peruzzo, Luca",USA,Italy
"Boaga, Jacopo",Italy,
"Cenni, Nicola",Italy,
"Schmutz, Myriam",France,
"Wu, Yuxin",USA,
"Hubbard, Susan S",USA,
